iter	Passed	Remaining
694	34835	15287
695	34882	15235
696	34930	15184
697	34979	15134
698	35028	15083
699	35077	15033
700	35128	14983
701	35184	14935
702	35241	14888
703	35297	14840
704	35352	14793
705	35405	14743
706	35456	14694
707	35508	14644
708	35555	14593
709	35606	14543
710	35663	14495
711	35720	14448
712	35776	14400
713	35834	14354
714	35884	14303
715	35932	14252
716	35979	14201
717	36027	14150
718	36076	14099
719	36126	14049
720	36177	13999
721	36224	13947
722	36272	13897
723	36321	13846
724	36370	13795
725	36421	13745
726	36472	13696
727	36520	13645
728	36566	13593
729	36612	13541
730	36660	13490
731	36710	13440
732	36760	13390
733	36806	13338
734	36852	13286
735	36898	13235
736	36945	13183
737	36989	13131
738	37035	13080
739	37081	13028
740	37128	12977
741	37174	12925
742	37222	12875
743	37271	12824
744	37322	12774
745	37367	12722
746	37415	12672
747	37464	12621
748	37514	12571
749	37562	12520
750	37612	12470
751	37660	12419
752	37705	12368
753	37751	12316
754	37799	12265
755	37845	12214
756	37893	12163
757	37940	12112
758	37989	12062
759	38034	12010
760	38080	11959
761	38125	11908
762	38174	11857
763	38226	11808
764	38285	11760
765	38339	11712
766	38395	11663
767	38448	11614
768	38499	11564
769	38544	11513
770	38590	11462
771	38640	11411
772	38696	11363
773	38751	11315
774	38808	11266
775	38858	11216
776	38905	11166
777	38953	11115
778	39001	11064
779	39059	11016
780	39111	10967
781	39166	10918
782	39217	10868
783	39265	10818
784	39311	10766
785	39359	10716
786	39406	10665
787	39456	10615
788	39504	10564
789	39554	10514
790	39602	10463
791	39654	10414
792	39711	10365
793	39768	10317
794	39820	10268
795	39872	10218
796	39923	10168
797	39972	10118
798	40024	10068
799	40076	10019
800	40129	9969
801	40185	9920
802	40234	9870
803	40286	9821
804	40336	9770
805	40390	9721
806	40442	9672
807	40488	9621
808	40539	9571
809	40592	9521
810	40646	9472
811	40697	9422
812	40751	9373
813	40800	9322
814	40848	9272
815	40897	9221
816	40945	9171
817	40992	9120
818	41046	9071
819	41099	9021
820	41158	8973
821	41212	8924
822	41269	8875
823	41319	8825
824	41369	8775
825	41426	8726
826	41477	8676
827	41533	8627
828	41588	8578
829	41635	8527
830	41681	8476
831	41728	8425
832	41777	8375
833	41826	8325
834	41874	8274
835	41919	8223
836	41964	8172
837	42010	8121
838	42057	8070
839	42103	8019
840	42150	7969
841	42198	7918
842	42244	7867
843	42290	7816
844	42336	7765
845	42384	7715
846	42433	7665
847	42481	7614
848	42530	7564
849	42578	7513
850	42625	7463
851	42673	7412
852	42721	7362
853	42768	7311
854	42819	7261
855	42867	7211
856	42912	7160
857	42957	7109
858	43003	7058
859	43050	7008
860	43098	6957
861	43146	6907
862	43200	6857
863	43252	6808
864	43306	6758
865	43359	6709
866	43417	6660
867	43463	6609
868	43509	6558
869	43556	6508
870	43604	6458
871	43656	6408
872	43708	6358
873	43761	6308
874	43816	6259
875	43866	6209
876	43915	6159
877	43959	6108
878	44006	6057
879	44052	6007
880	44100	5956
881	44152	5907
882	44207	5857
883	44261	5808
884	44316	5758
885	44371	5709
886	44417	5658
887	44463	5607
888	44512	5557
889	44565	5508
890	44622	5458
891	44674	5408
892	44727	5359
893	44782	5309
894	44827	5259
895	44874	5208
896	44924	5158
897	44980	5109
898	45034	5059
899	45086	5009
900	45137	4959
901	45186	4909
902	45233	4859
903	45282	4808
904	45329	4758
905	45380	4708
906	45427	4657
907	45475	4607
908	45523	4557
909	45572	4507
910	45621	4457
911	45669	4406
912	45716	4356
913	45763	4305
914	45815	4256
915	45871	4206
916	45923	4156
917	45976	4106
918	46028	4056
919	46078	4006
920	46123	3956
921	46169	3905
922	46221	3855
923	46275	3806
924	46333	3756
925	46385	3706
926	46437	3656
927	46490	3607
928	46539	3556
929	46585	3506
930	46630	3455
931	46677	3405
932	46726	3355
933	46782	3305
934	46836	3255
935	46886	3205
936	46940	3156
937	46996	3106
938	47045	3056
939	47092	3005
940	47142	2955
941	47189	2905
942	47237	2855
943	47286	2805
944	47338	2755
945	47384	2704
946	47430	2654
947	47476	2604
948	47522	2553
949	47565	2503
950	47611	2453
951	47659	2402
952	47704	2352
953	47752	2302
954	47800	2252
955	47854	2202
956	47910	2152
957	47962	2102
958	48012	2052
959	48060	2002
960	48108	1952
961	48156	1902
962	48201	1851
963	48248	1801
964	48302	1751
965	48360	1702
966	48415	1652
967	48467	1602
968	48520	1552
969	48571	1502
970	48622	1452
971	48669	1401
972	48714	1351
973	48761	1301
974	48807	1251
975	48855	1201
976	48903	1151
977	48948	1101
978	48994	1050
979	49041	1000
980	49087	950
981	49134	900
982	49181	850
983	49229	800
984	49280	750
985	49327	700
986	49372	650
987	49421	600
988	49474	550
989	49529	500
990	49579	450
991	49632	400
992	49685	350
993	49741	300
994	49791	250
995	49845	200
996	49897	150
997	49945	100
998	49994	50
999	50041	0
